id,name_vn,name_en,description_en,taste_profile,min_ingredients
1,Hủ tiếu,Hủ tiếu (Rice Noodle Soup),"Clear, savory broth with chewy rice noodles, pork, shrimp or seafood; often garnished with herbs and fried shallots.","Umami, savory, slightly sweet","rice noodles, pork bones, shrimp, garlic, fish sauce, scallion"
2,Mì hoành thánh,Wonton Noodle Soup,Egg noodles in a light pork-shrimp broth with wontons (pork/shrimp dumplings) and leafy greens.,"Savory, light, slightly fatty","egg noodles, pork, shrimp, wonton wrappers, pork broth"
3,Bánh mì,Vietnamese Baguette Sandwich,"Crispy baguette filled with meats (pâté, cold cuts), pickled vegetables, cilantro and chili — crunchy and fresh.","Savory, tangy, crunchy","baguette, pâté, pork/ham, pickled carrot, cucumber, cilantro"
4,Cơm tấm,Broken Rice with Grilled Pork,"Fragrant broken rice served with grilled pork chops, pickles, fried egg and fish sauce dressing.","Savory, slightly sweet, umami","broken rice, pork chop, fish sauce, egg, pickles"
5,Bún riêu,Crab Tomato Noodle Soup,"Tangy tomato and crab-based broth with rice vermicelli, tofu and fresh herbs; bright and sour-savory.","Sour, savory, umami","rice vermicelli, crab paste, tomatoes, tofu, fish sauce"
6,Bún mắm,Fermented Fish Noodle Soup,"Strong fermented fish broth with vermicelli, shrimp, squid and herbs — bold and pungent.","Funky, salty, umami","fermented fish paste, rice vermicelli, shrimp, eggplant, herbs"
7,Mì Quảng,Quang-style Turmeric Noodles,"Wide turmeric noodles with a little rich broth, topped with pork, shrimp, peanuts and herbs — aromatic and textured.","Savory, nutty, aromatic","turmeric rice noodles, pork, shrimp, peanuts, herbs"
8,Bánh cuốn,Steamed Rice Rolls,Thin steamed rice sheets filled with minced pork and wood ear mushrooms; served with fish sauce and fried shallots.,"Delicate, savory, slightly sweet","rice flour, minced pork, wood ear mushroom, fish sauce"
9,Xôi gà,Sticky Rice with Chicken,"Glutinous rice topped with shredded chicken, fried shallots, and savory sauce — rich and comforting.","Savory, slightly sweet, rich","glutinous rice, chicken, fish sauce, fried shallots"
10,Há cảo,Steamed Dumplings (Har Gow-style),"Delicate steamed dumplings filled with shrimp/pork, translucent wrapper; light and savory.","Savory, slightly sweet","wheat starch wrapper, shrimp, pork, sesame oil"
11,Bánh bao xá xíu,Char Siu Steamed Bun,Fluffy steamed bun filled with sweet-savory Chinese-style barbecued pork (xá xíu).,"Sweet, savory","flour, char siu pork, sugar, soy sauce"
12,Vịt quay,Roast Duck,Crispy-skin roast duck with fragrant seasoning; often served with rice or noodles and hoisin-like sauce.,"Savory, fatty, aromatic","duck, five-spice, soy sauce, honey"
13,Heo quay,Roast Pork Belly,"Crispy-skinned roast pork belly — crunchy skin, tender meat; served with rice or noodles.","Savory, fatty, crispy","pork belly, salt, five-spice, oil"
14,Bánh hỏi,Fine Rice Vermicelli Sheets,"Very thin woven rice vermicelli served with grilled meats, herbs and dipping sauce — delicate texture.","Light, savory, herbaceous","rice vermicelli, grilled pork, herbs, fish sauce"
15,Bánh khọt,Mini Savory Pancakes,Crispy mini pancakes made from rice batter topped with shrimp and served with herbs and fish sauce.,"Crispy, savory, slightly sweet","rice flour, shrimp, coconut milk, turmeric"
16,Bánh xèo,Vietnamese Sizzling Pancake,"Large crispy pancake with pork, shrimp and bean sprouts; wrapped in lettuce with herbs and dipped in fish sauce.","Crispy, savory, herbaceous","rice flour, coconut milk, pork, shrimp, bean sprouts"
17,Mì vịt tiềm,Herbal Duck Noodle Soup,"Rich herbal broth with braised duck, mushrooms and egg noodles; aromatic with Chinese herbs.","Savory, aromatic, slightly sweet","duck, Chinese herbs, egg noodles, soy sauce"
18,Bò kho,Vietnamese Beef Stew,"Fragrant slow-cooked beef in spiced tomato-based gravy, often served with bread or rice noodles.","Savory, spiced, slightly sweet","beef, tomato, star anise, carrot, fish sauce"
